LEI,Date,Total_Capital,CET1_Capital,Tier1_Capital,RWA_Total,Net_Income,Leverage_Exposure,Total_Assets,Loans_Gross,Provisions_Stock,NPL_Amount
0W2PZJM8XOY22M4GG883,202506,7412.15807077,6102.37281472,6700.97281472,28965.35749421,356.6465908,89166.9825425,96079.97843525,97926.63771142,734.03222612,0.0
2138008AVF4W7FMW8W87,202506,1576.22869764694,1300.55674726789,1300.55674726789,5426.02273299826,60.3022215221029,21823.6360402634,19594.3948884513,17939.161155459275,749.2680744314257,164.737804076006
2138009Y59EAR7H1UO97,202506,588.79346155,528.79346155,528.79346155,2608.02961657,39.36484762,5157.38500136,5032.17057082,7649.43335482,148.00625338999998,0.0
213800DBQIB6VBNU5C64,202506,6638.34121321,4920.87370008999,5620.87370008999,30604.47889941,514.866328,74581.06916304,72269.488872,93868.895154,1354.11977,272.113426
213800HDJ876ACJXXD05,202506,1203.39840081,1149.06242268,1149.06242268,6868.04857957,54.64831626,10446.10603716,9795.48457334,13828.18107566,278.34488519,0.0
213800TC9PZRBHMJW403,202506,255.05019111,214.33523446,214.33523446,1261.3884398,-4.20484166,4990.25201984,5118.91713805,6669.51916285,13.577980969999999,0.57122374
213800X3Q9LSAKRUWY91,202506,23640.611297,18138.085284,21002.085141,124314.856915678,1334.656314,380048.211007336,356505.446981,507731.692555,4604.091055,0.0
222100K6QL2V4MLHWQ08,202506,3850.36266173,3171.28689187,3251.2466422,21160.42036063,435.89235369,47074.0768533,44528.16089267,59274.00830576,1488.10263552,0.0
254900RNFMDM0P11YR84,202506,4006.05989791,2920.53859377,3327.50977063,13313.4275952,123.89508678,46230.3070183,47507.80604836,74027.3484638,816.3497695599999,0.0
2G5BKIC2CB69PRJH1W31,202506,8281.17156044455,6154.92617381309,7224.92617381309,35126.1613810315,,129713.568315143,,,,
2W8N8UU78PMDQKZENC08,202506,57226.973307,40017.995909,47685.556563,308507.602135,5233.741745,823750.705871,770518.393645,955061.409512,13345.731671000001,0.0
391200EEGLNXBBCVKC73,202506,4143.00278617,3949.53047051,3949.53047051,16081.46435709,113.85598997,46505.06938902,46912.89190614,62800.15999404,564.4942024300001,0.0
3H0Q3U74FVFED2SHZT16,202506,2770.0871774137,2388.71880555777,2388.71880555777,13021.148034012,145.440267236118,33146.9153838819,31704.6307068284,36839.39923662079,1311.359728176586,0.0
3M5E1GQGKL17HI6CPN30,202506,6888.48930838505,5206.97062206704,5866.45671242611,32017.9906420096,340.058543840555,108774.304184079,102776.303053009,158605.10660808603,824.546984063583,0.0
485100FX5Y9YLAQLNP12,202506,1297.155363,1297.155363,1297.155363,4141.118223,102.923,26581.814,27385.3809992426,14532.410804090001,144.58169743,0.0
5299007QVIQ7IO64NX37,202506,3595.24010998,2995.24010998,3595.24010998,14625.21781073,28.65514799,61705.69567815,61062.88870446,38877.25771444,30.77335895,0.0
5299007S3UH5RKUYDA52,202506,3220.97951548,2997.79413298,2997.79413298,14531.593379,,53471.25672841,,,,
529900GGYMNGRQTDOO93,202506,4612.43918284,4303.13918284,4612.43918284,10743.63108205,141.58098288,47656.47175003,132223.99305378,205115.50113943,97.11938748,0.0
529900GM944JT8YIRL63,202506,2437.79433031,1843.99555424,2067.96795181,9767.15739889,,55832.07486283,,,,
529900HEKOENJHPNN480,202506,1653.97319417,1653.97319417,1653.97319417,1850.6297572,62.36604366,14474.6347251114,55175.17811006,82504.40869124,6.60906178,0.0
529900HNOAA1KXQJUQ27,202506,34531.54946464,27089.12483895,30382.12483895,151528.91162481,1453.46813437,448452.6884652,550605.05095128,750228.45013985,5639.34495798,0.0
529900JG015JC10LED24,202506,803.56155603,643.1524727,713.38261581,3489.889271948,59.92535439,9606.72550842741,9373.97036497,10679.873185159999,67.31661288000001,0.0
529900JZTYE3W7WQH904,202506,5491.77114475999,5131.74381151,5131.74381151,28504.26055868,71.45402447,56583.19512762,57845.20317157,78140.25476873,595.90855556,0.0
529900ODI3047E2LIV03,202506,30957.8429667696,23964.9448320754,26933.6879645359,158575.524065794,2459.13165046,561391.946533478,546907.59171511,709558.4381716,2801.51435885,0.0
529900OE1FOAM50XLP72,202506,1982.4649677367,1982.4649677367,1982.4649677367,10757.1126123523,97.4099092008131,30877.9378747754,30112.6059669947,38959.337972889654,113.63488917299654,0.0
529900RWC8ZYB066JF16,202506,1691.00910101,1275.21680982,1275.21680982,5740.29320813,89.481,16412.75497188,15910.939,15893.68738065,159.88504126,0.0
529900S1KHKOEQL5CK20,202506,1295.7791128,1239.18824869,1239.18824869,7511.97081085,,33415.5524452,,,,
529900S9YO2JHTIIDG38,202506,4450.15739866,2949.5639291,3574.80283695,23505.4420687,408.45709088,74738.26844897,72765.13813337,103181.02874849,768.02504614,0.0
529900SSGT49ZZSWYE62,202506,33172.49212391,30425.64011003,30425.64011003,181918.22563892,1088.74033307,212136.15774856,203659.32221377,330824.55008872,6324.5119727,0.0
529900SXEWPJ1MRRX537,202506,4120.72201312,3776.37100714,3871.37100714,16047.77029423,5.59822156,31503.11262273,35247.13769061,38831.9771607,536.9794041299999,0.0
529900V3O1M5IHMOSF46,202506,5184.40349947,5184.40349947,5184.40349947,12754.82869809,148.38109891,58950.78890852,55400.52916777,31565.19374233,28.467301159999998,0.0
529900W3MOO00A18X956,202506,13498.7197720485,12276.1131386043,12276.1131386043,68282.8893498774,1331.60859791395,118910.160754369,111302.008938691,148682.47532063272,4663.92514051274,0.0
529900XSTAE561178282,202506,6148.31127344,5617.53944887,5617.53944887,30357.24635159,234.43537094,43375.15007288,48461.1409869899,64030.74793926,1144.21316007,1097.96091266
5493000LKS7B3UTF7H35,202506,6913.57561888598,6290.0908087594,6290.0908087594,38962.1389069608,775.312595526012,87472.9981811753,80080.3479287179,97415.43710581512,2695.435410272728,390.820014378992
5493001BABFV7P27OW30,202506,3415.245,2802.766,2887.038,18608.244,282.167,31052.333,29570.817,38679.644,638.283,0.0
54930056IRBXK0Q1FP96,202506,6794.091836,5110.141633,5736.482106,38640.253231,453.509,83835.774103,81974.001,118951.445,1770.17707,0.0
5493006QMFDDMYWIAM13,202506,107735.452258,81252.906825,90830.487726,625750.26763223,6737.048,1850859.40061,1797909.92,2295744.599,38914.619,0.0
5493007SJLLCTM6J6M37,202506,5743.01215039999,4591.1808587,5138.5408587,28736.652,337.848,93864.116,95150.416,108917.86899999999,1484.9180000000001,0.0
5493008QOCP58OLEN998,202506,3078.53836698484,3078.53836698484,3078.53836698484,10489.954966485,66.6756973099999,61981.5980356388,59468.99203409,93596.30810683,83.58369374,0.0
5493009EIBTCB1X12G89,202506,5192.59668524801,5192.59668524801,5192.59668524801,28075.0988799355,257.37735402299,65645.2229958606,61966.3609230137,76613.12161954062,54.634100141265364,0.0
549300C6TUMDXNOVXS82,202506,2386.52433482528,1880.54263653433,2109.31399974252,12516.3478392652,81.8164485255461,47707.7579481963,46579.8992508859,78764.56456871124,88.22913088323673,0.0
549300C9KPZR0VZ16R05,202506,8297.463636,6290.777414,7290.777414,34950.14768,195.800108290003,105258.278640169,110484.43948599,88212.5497273198,5.74372248,0.0
549300DYPOFMXOR7XM56,202506,3278.7525571867,2528.6219895757,2773.3466835457,11337.6595123883,83.2442023,57933.06982044,56670.90680447,107199.69110825,371.56394220000004,0.0
549300FH0WJAPEHTIQ77,202506,10524.9632281899,9184.84491234648,9184.84491234648,43401.606069063,,124724.660782371,,,,
549300GKFG0RYRRQ1414,202506,21703.7599437238,17494.759962905,19202.9869199374,95442.7715351726,1755.01557809793,309177.707547847,292627.763023786,427872.0914684182,1171.1617911191834,0.0
549300HFEHJOXGE4ZE63,202506,1457.43810437,1457.43810437,1457.43810437,3348.59355033,43.0117182,15399.2205804,73305.8049713,119073.47587945999,70.4348471,0.0
549300L7YCATGO57ZE10,202506,1862.02518,1362.02518,1862.02518,5805.480683,317.836001,35812.643816,35359.175576,12763.270564,60.600643,0.0
549300NYKK9MWM7GGW15,202506,61226.33721098,44534.03239615,50764.52822155,335803.77875556,3256.378,1186760.54517077,1086759.756,1744280.94,11156.364000000001,0.0
549300OLBL49CW8CT155,202506,3501.206,2644.373,3000.25199999999,18547.292,180.602,46891.488,46893.066,64788.044,730.637,0.0
549300Q3OIWRHQUQM052,202506,4218.02069533989,3348.1863142507,3714.6374354641,17972.5346241074,287.103852380751,50676.1376087709,47974.9537778528,80109.23683003076,238.5098392834509,0.0
549300RG3H390KEL8896,202506,3833.22861239978,3439.50386440891,3439.50386440891,18457.5130533994,389.587737520921,42280.9757102995,41034.8838712218,50421.30010731507,2184.251832037018,0.0
549300TK038P6EV4YU51,202506,607.15645,481.72945,531.82045,2724.36582,31.863,5351.46445,5081.178,7904.004,85.38,30.683
549300TRUWO2CD2G5692,202506,58593.741198,46096.307198,51055.878198,287742.531981,6149.009783,896715.764,816816.11412,1061243.3320209999,16981.427554,0.0
549300U4LIZV0REEQQ46,202506,5954.19195,5954.19195,5954.19195,30254.29362,332.647,71740.96244,67572.058,105791.054,1288.317,0.0
549300ZK53CNGEEI6A29,202506,46071.63974734,25495.6329214,25495.6329214,137670.16731059,,458865.97319469,,,,
5UMCZOEYKCVFAW8ZLO05,202506,8250.95399999999,7207.094,7207.094,38074.12209899,612.35,80139.6340664299,77801.977,84867.5399999998,1669.663,346.153
635400AKJBGNS5WNQL34,202506,12293.4913384405,9330.01559668835,10639.4069339783,55731.0051681287,928.92512072,148957.068311673,144453.7157715,173046.42969949,2506.37514088,0.0
635400C8EK6DRI12LJ39,202506,11154.8693216818,7969.59335216185,9469.19335216185,52152.6727520498,612.392164240001,140957.430549915,137266.1330237,184937.22216730998,2224.09594071,0.0
635400L14KNHZXPUZM19,202506,2660.942907,2124.497907,2344.497907,10300.363131,221.718,26832.163487,26050.664,25994.456003,281.927725,18.680731
6TJCK1B7E7UTXP528Y04,202506,4679.91413582744,4679.91413582744,4679.91413582744,19208.2607326221,,57332.1680730646,,,,
724500A1FNICHSDF2I11,202506,4898.03217383,3585.54003983,3883.14003983,17931.24787089,137.767804,75393.68956721,75684.869868,135618.76532399998,259.301896,0.0
724500JIWG886A9RRT57,202506,2025.32281997,1641.0949996,1891.0949996,6535.503423,62.25654875,30964.003553,40677.18254396,13748.34240449,5.6114780600000005,0.0
7437003B5WFBOIEFY714,202506,16605.3698705099,16057.61403286,16057.61403286,77301.65192143,836.00929526,152229.14222568,144757.11929724,219386.2371266699,1328.61740327,0.0
7CUNS533WID6K7DGFI87,202506,40181.713957,29624.795723,34061.669819,241835.280629,2955.762,618281.257167,579897.271,826581.569,12215.951000000001,0.0
7LTWFZYICNSX8D621K86,202506,67200.3467966613,48521.5729430161,60192.5330924184,340805.06175363,3736.63461257998,1276035.04939135,1395879.86706988,1554867.340884024,11270.00815159394,0.0
7LVZJ6XRIE7VNZ4UBX81,202506,3446.367994,3446.367994,3446.367994,15361.616966,477.288094,41268.173531,40364.02581,39513.823843,344.218199,0.0
7V6Z97IO7R1SEAO84Q32,202506,2468.15209615953,1977.43868908699,2185.64265571,10459.6129252608,180.337758925176,31341.7951788415,30201.2639073894,49929.06743267556,147.4413258692803,0.0
815600AD83B2B6317788,202506,4174.323229,3573.698839,3642.08392,22577.295054,368.404214,56006.483635,54812.319,81278.135708,823.169721,0.0
815600E4E6DCD2D25E30,202506,12361.760248,9098.563274,10488.420844,64279.766407,1222.843,214804.280089,194217.112,227327.003,3219.4210000000003,0.0
851WYGNLUQLFZBSYGB56,202506,35396.89899753,25641.98985626,29099.86572994,176124.48555388,1405.9095536,672701.33486831,599092.10201461,778986.41040264,5968.023408929999,0.0
8IBZUGJ7JPLH368JE346,202506,13371.2560923913,13351.0308673894,13351.0308673894,56582.8042149181,,150614.863962127,,,,
95980020140005881190,202506,4517.673297,3917.673297,3917.673297,27794.865506,177.623015,63169.335721,64539.953014,87584.394543,1069.832664,0.0
96950001WI712W7PQG45,202506,7416.15105474,6131.32205473999,6131.32205473999,48168.01283616,458.783669,75777.87014035,73168.971887,130815.75410063,2036.92068501,0.0
9695000CG7B84NLR5984,202506,81117.82906275,72919.85833372,72919.85833372,369018.98156988,2045.906258,961143.26954473,988217.604762,1599059.8551029998,24870.663599,0.0
96950066U5XAAIRCPA78,202506,21168.0590278,17516.14696096,19004.14696096,96061.17637745,839.715,268176.62261014,317493.2204452,418004.6266008,3370.70700069,0.0
969500STN7T9MRUMJ267,202506,23635.31676779,23635.31676779,23635.31676779,94430.28252839,443.11803,118875.78072047,103166.698368,135647.44450908,2496.94576022,0.0
9CZ7TVMR36CYD5TZBS50,202506,2112.16468192,1523.22203304999,1823.22203305,10986.9376089,91.27596363,31763.29449774,30115.98828611,39158.39179099,447.32571358999996,0.0
9ZHRYM6F437SQJ6OUG95,202506,21433.53050771,17467.72398268,19147.61575805,96100.20954041,268.47900515,231137.51683127,203049.45870059,259206.94811154,4696.8795119999995,0.0
A5GWLFH3KM7YV2SFQL84,202506,13589.9493461399,11385.1206807799,11881.8206807799,70577.46201152,476.471009,187645.27011403,170146.657292,275337.404631,3427.6499270000004,0.0
AT0000000000043000VB,202506,3487.41742786,2352.52646844,2352.52646844,16026.36211811,84.01341988,33201.47637151,32596.99973261,56516.968851219994,1157.50680774,0.0
B81CK4ESI35472RHJ606,202506,18514.18781986,14266.08907382,15011.28907382,85693.56271762,474.07902465,349431.84288186,366481.86634518,491872.76873356,3613.60973309,0.0
BFXS5XCH7N0Y05NIXW11,202506,28763.17676943,20321.29938253,24541.66226124,139789.47648388,1225.144135,448941.370416614,414295.121539,655409.6552030001,2350.984275,0.0
DG3RU1DBUFHT4ZF9WN62,202506,55265.54949814,46027.46908114,50927.14602614,231575.83935569,2693.893203,674686.44133058,635865.206173,1095781.263663,4262.6410670000005,0.0
DIZES5CFO5K3I5R58746,202506,12191.92003176,9214.31823277,10068.11823277,56501.33325927,307.179996,191322.60085655,199986.557141,277683.498349,2990.843429,0.0
DSNHHQ2B9X5N6OUJ1236,202506,7951.85903681,6921.0722716,6921.0722716,38411.60328301,205.68457849,118252.99841455,120837.12826458,188529.44296771,1470.34931672,0.0
DZZ47B9A52ZJ6LT6VV95,202506,3185.52857259,2700.67223739999,2998.42223739999,17667.70558578,-242.306067,40970.79026291,42356.24117,81304.70659799999,1652.448522,1791.486206
EQYXK86SF381Q21S3020,202506,15036.9935650143,13321.2905898184,13321.2905898184,55534.292618659,,99197.735454648,,,,
EV2XZWMLLXF2QRX0CD47,202506,1066.08940151617,1066.08940151617,1066.08940151617,302.298752343785,3.22057497869286,9152.362470013,59929.1849992374,105225.4748091328,0.32165953438299,0.0
F0HUI1NY1AZMJMD8LP67,202506,13382.63492948,10461.29163206,11902.63492948,67610.08248687,418.412,249203.6939728,257233.543,188001.926,962.960999999999,0.0
F3JS33DEI6XQ4ZBPTN86,202506,19241.2920183914,15684.4582140582,16989.5482423182,88816.7927468712,1442.37379724577,344376.200855425,325811.513433992,399504.12695518724,1019.614471897006,0.0
FR9695005MSX1OYEMGDF,202506,86390.747845,73708.720199,73708.720199,451854.407158,1846.218059,1457183.02354,1486359.288298,2188520.694896,29333.580058999898,0.0
FR969500TJ5KRTCJQWXH,202506,139109.411450089,114107.248902859,122485.854111199,649013.18230942,5346.93992507,2190715.03458753,2187749.11120205,2898625.99624736,41333.964615670004,0.0
H0YX5LBGKDVOWCXBZ594,202506,2673.31449818328,1981.78526802135,2493.1565504867,13648.7069301574,97.7450395191315,60924.3699436594,60445.5843134616,101499.4630865293,44.01242192616503,0.0
J48C8PCSJVUBR8KCW529,202506,4627.789455,3961.858793,3961.858793,26461.108371,336.769839,62248.370174,56571.210957,81369.16993,1805.9834720000001,210.850753
J4CP7MHCXR8DAQMKIL78,202506,10016.183194,8996.382098,8996.382098,45864.03005,892.363189,130050.307781,125584.369564,183686.258455,3716.7349029999996,0.0
JEUVK5RWVJEN8W0C9M24,202506,10132.42478735,7932.0195981,8427.08506683,51720.40921333,694.031445,107100.42319075,101507.349952,119871.951004,2477.115814,318.061316
JLP5FSPH9WPSHY3NIM24,202506,2351.607199,2022.953237,2351.607199,5737.861715,,20654.565208,,,,
JU1U6S0DG9YLT7N8ZV32,202506,8394.31202587,6685.36335345,7174.65460734,40822.84655193,570.5839153,112221.92215571,105492.94671251,125336.15729085,2394.07130433,0.0
K8MS7FD7N5Z2WQ51AZ71,202506,68602.576,51633.607,57122.643,387050.686,5785.426,824768.744,746954.769,1003357.4839999999,20940.722,0.0
LIU16F6VZJSD6UKHD557,202506,14902.2251302121,12010.8337677746,12599.3380477864,69180.8662079079,839.064570494176,267694.443117741,261751.072683232,465550.4237091974,1485.8429453604772,0.0
LOO0AWXR8GF142JCO404,202506,9019.813503,9018.816293,9019.813503,33033.73875,589.657712,93714.015621,90728.178918,111703.70434299999,3824.556987,457.04767
M312WZV08Y7LYUC71685,202506,18770.1941416588,15707.2760059211,17104.7850894899,79714.7241098102,1442.68353294756,256012.299107343,243394.191181088,355603.79150405846,1258.851657470953,0.0
M6AD1Y1KW32H8THQ6F76,202506,7297.772304,5124.955764,6124.955764,36118.554226202,555.923284,83906.8482602,81249.260154,94641.94477,1341.3778109999998,297.94353
MAES062Z21O4RZ2U7M96,202506,24145.2169569797,20171.7782022785,21199.5817514013,108030.950882405,1501.45538669463,446978.70495884,429188.905804365,588312.3481034382,3544.810226248835,0.0
MMYX0N4ZEZ13Z4XCG897,202506,4543.48054084996,4543.48054084996,4543.48054084996,6104.8233629893,,55585.0236728129,,,,
N1FBEDJ5J41VKZLO2475,202506,14449.6451132967,14449.6451132967,14449.6451132967,78461.7839867375,873.28252079,205093.247419755,199586.47853389,103550.14154058,271.05949543,0.0
N747OI7JINV7RUUH6190,202506,11690.61665,9017.502358,10133.466672,55597.209228,920.08898,149894.495875,144528.170147,202431.022748,3438.399413,0.0
NHBDILHZTYCNBV5UYZ31,202506,16489.8384496514,13315.6554348934,14165.5567810559,72525.3563947992,994.612980243126,312879.454183824,302582.926015733,431026.1309196607,159.24893096487665,0.0
NNVPP80YIZGEY2314M97,202506,16787.498855,16458.339199,16488.47843,65026.686225,1010.474458,175820.159127,165725.373689,215647.805358,5429.297498,231.322726
O2RNE8IBXP4R0TD8PU41,202506,71564.53528748,52535.84499338,61420.73762245,388029.41100513,3514.04800303,1405565.66041761,1380480.01686054,1084660.07595272,16659.416538370002,2249.52396413
P4GTT6GF1W40CVIMFR43,202506,11429.3504325483,10776.1776548098,10776.1776548098,64197.0831659713,1201.53899347052,142148.915849892,128385.317776206,151756.6303019587,4188.852411192029,0.0
PSNL19R2RXX5U3QWHI44,202506,8270.280348,6937.160918,6937.160918,46091.580453,1331.136268,101797.957255,103838.14001,137578.620854,2244.949504,0.0
R0MUWSFPU8MPRO8K5P83,202506,131936.284997,98280.564429,114744.596091,788849.55543735,6498.76835,2604849.7692097,2573933.922967,2049608.6693550001,31509.846296000003,0.0
R7CQUF1DQM73HUTV1078,202506,5833.1593074,5791.1056797,5791.1056797,21140.94085858,,60750.87878411,,,,
SI5RG2M0WQQLZCXKRM20,202506,14912.17792,10348.4152399999,13098.41524,79239.029961,976.42,252191.13379,252376.61,371183.471,4911.130999999999,0.0
TO822O0VT80V06K0FH57,202506,9957.58360449,9916.02441399,9921.53653006,47437.48327196,915.52737,110194.64314114,106244.312257,116512.260428,2949.124984,20.535257
TUKDD90GPC79G1KOE162,202506,3856.93068919999,3264.5990581,3264.5990581,14739.32875275,31.430496,32217.17442048,30786.43044431,39648.67010917,488.88712998999995,0.0
VDYMYTQGZZ6DU0912C88,202506,15518.90919012,12991.21096701,12991.21096701,63504.29128668,550.14210731,270131.23006798,282416.56597908,439655.73473917,2972.4536785,0.0
VWMYAEQSTOPNV0SUGU82,202506,7615.368081,5528.295016,6326.560855,43965.31478,541.692677,123997.403096,131772.988097,196991.121805,2592.8510079999996,0.0
XXXXXXXXXXXXXXXXXXXX,202506,50795.8383758873,42163.7149095673,46176.2859846673,198730.184879584,3121.3517615832,480276.710333417,695549.693109955,789983.8066140602,9025.60521154136,8.14795516033755
